csv_sku,matched_mfr_number,matched_from_field,name,row_type,image_position,image_url,url_basis
4-771,4-771,sku,Compound Pump,simple,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-771,4-771,sku,Compound Pump,simple,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-771,4-771,sku,Compound Pump,simple,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-772,4-772,sku,MiniShot,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx772xx1.jpg,sku_mfr_main_image_candidate_only
4-773,4-773,sku,MiniShot Ext. Handle,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx773xx1.jpg,sku_mfr_main_image_candidate_only
4-778,4-778,sku,50” Fixed Handle (Corner Applicator),simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx778xx1.jpg,sku_mfr_main_image_candidate_only
4-779,4-779,sku,50” Fixed Handle (Corner Finisher),simple,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx779xx1.jpg,verified_zoro_page_gallery
5-311,5-311,sku,Drywall Banjo,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_5xx311xx1.jpg,sku_mfr_main_image_candidate_only
5-623,5-623,sku,Bonus Hand Tool Set,simple,1,https://www.zoro.com/static/cms/product/large/Grainger_5xx623xx1.jpg,sku_mfr_main_image_candidate_only
4-600P,4-600P,sku,The Entry to Automatic Finishing Set,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx600Pxx1.jpg,sku_mfr_main_image_candidate_only
4-602,4-602,sku,The Entry to Automatic Finishing Set,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx602xx1.jpg,sku_mfr_main_image_candidate_only
4-605,4-605,sku,10”/12” Standard Boxes w/ Ext. Handle Set,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx605xx1.jpg,sku_mfr_main_image_candidate_only
4-629,4-629,sku,10”/12” Mega Boxes w/ Ext. Handle Set,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx629xx1.jpg,sku_mfr_main_image_candidate_only
4-630,4-630,sku,The Starter Taping Set,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx630xx1.jpg,sku_mfr_main_image_candidate_only
4-650,4-650,sku,Semi-Automatic Starter Set,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx650xx1.jpg,sku_mfr_main_image_candidate_only
4-661P,4-661P,sku,The Full Taping Set w/ Ext. Handles & MiniShot,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx661Pxx1.jpg,sku_mfr_main_image_candidate_only
4-677P,4-677P,sku,The Ultimate Taping & Finishing Set,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx677Pxx1.jpg,sku_mfr_main_image_candidate_only
4-687P,4-687P,sku,Finishing Set w/ Ext. Handles & MiniShot,toolset,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx687Pxx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-701,4-701,component_sku,The Entry to Automatic Finishing - 7” Corner Applicator,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx701xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-707,4-707,component_sku,The Entry to Automatic Finishing - Corner Roller,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx707xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-712,4-712,component_sku,The Entry to Automatic Finishing - 42” Flat Box Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx712xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-714,4-714,component_sku,The Entry to Automatic Finishing - Gooseneck Filler Tube,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx714xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-733,4-733,component_sku,The Entry to Automatic Finishing - 3” Corner Finisher,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx733xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx1.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx3.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx9.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx5.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,5,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx7.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,6,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx4.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,7,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx6.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,8,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx8.jpg,verified_zoro_page_gallery
4-600P::4-760,4-760,component_sku,The Entry to Automatic Finishing - Automatic Taper,toolset_component,9,https://www.zoro.com/static/cms/product/large/Grainger_4xx760xx2.jpg,verified_zoro_page_gallery
4-600P::4-765,4-765,component_sku,The Entry to Automatic Finishing - 10” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx765xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-766,4-766,component_sku,The Entry to Automatic Finishing - 12” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx766xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
4-600P::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-600P::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-600P::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-600P::4-778,4-778,component_sku,The Entry to Automatic Finishing - 54” Corner Applicator Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx778xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::4-779,4-779,component_sku,The Entry to Automatic Finishing - 54” Corner Finisher Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx779xx1.jpg,verified_zoro_page_gallery
4-600P::5-623,5-623,component_sku,The Entry to Automatic Finishing - Bonus Hand Tool Set,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_5xx623xx1.jpg,sku_mfr_main_image_candidate_only
4-600P::5-777,5-777,component_sku,The Entry to Automatic Finishing - 50” Corner Roller Handle (as printed: 5-777),toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_5xx777xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-701,4-701,component_sku,The Entry to Automatic Finishing - 7” Corner Applicator Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx701xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-707,4-707,component_sku,The Entry to Automatic Finishing - Corner Roller,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx707xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-712,4-712,component_sku,The Entry to Automatic Finishing - 42” Flat Box Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx712xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-733,4-733,component_sku,The Entry to Automatic Finishing - 3” Corner Finisher,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx733xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-765,4-765,component_sku,The Entry to Automatic Finishing - 10” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx765xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-766,4-766,component_sku,The Entry to Automatic Finishing - 12” Flat Box,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx766xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,1,https://www.zoro.com/static/cms/product/large/Z-x_K6icpEx_.JPG,verified_zoro_page_gallery
4-602::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,2,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx12.jpg,verified_zoro_page_gallery
4-602::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,3,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx2.jpg,verified_zoro_page_gallery
4-602::4-771,4-771,component_sku,The Entry to Automatic Finishing - Compound Pump,toolset_component,4,https://www.zoro.com/static/cms/product/large/Grainger_4xx771xx13.jpg,verified_zoro_page_gallery
4-602::4-777,4-777,component_sku,The Entry to Automatic Finishing - 54” Corner Roller Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx777xx1.jpg,verified_zoro_page_gallery
4-602::4-778,4-778,component_sku,The Entry to Automatic Finishing - 50” Corner Applicator Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx778xx1.jpg,sku_mfr_main_image_candidate_only
4-602::4-779,4-779,component_sku,The Entry to Automatic Finishing - 54” Corner Finisher Handle,toolset_component,1,https://www.zoro.com/static/cms/product/large/Grainger_4xx779xx1.jpg,verified_zoro_page_gallery
