PART #,QUANTITY REQURIED,COLUMBIA AUTOMATIC TAPER, LIST PRICE USD ,,
CT90,2,Rod Sleeve Housing,,,
CT91,1,Release Clip Bushing,,,
CT92,1,Release Clip,,,
CT92A,1,Toe Kicker Cable Retainer Clip,,,
CTA99-CL,1,Removable Cover Plate PinCam Lock Cap Release Pin Assembly (includes CT99-CS & CT100-CS),,,
FA207,1,4-40 Nyloc Nut,,,
FA215,4,4-40 x 5/16” Binder Slot,,,
FA228,2,#6 Flat Washer,,,
FA233,3,6-32 Nyloc Nut,,,
FA238,2,6-32 x 3/16” Fillister Slot,,,
FA244,1,6-32 x ½” Pan Slot,,,
FA277,1,#6 Belleville Washer,,,
,,If converting non quick release taper also comes with:,,,
FA235,2,6-32 x 1/8 Set Screw,,,
AH19,1,1/16 Allen Key,,,
,,,,,
CTA93,1,Mud Gate Assembly, $70.51 ,,
CT93,1,Mud Shut-Off Lever Arm,,,
CT94,1,Mud Shut-Off Upper Plate,,,
CT95,1,Control Valve,,,
CT96,1,Mud Shut-Off Gasket,,,
FA199,4,2-56 x 3/16” Binder Slot,,,
FA206,2,4/40 Hex Nut,,,
FA212,2,4/40 x 3/16” Truss Slot,,,
,,,,,
CTA97,1,Mud Supply Valve Assembly, $33.76 ,,
CT97,1,Mud Supply Valve Body,,,
CT98,1,Mud Supply Seal Plate,,,
CT101,1,Return Spring,,,
FA234,1,6/32 Nyloc Jam Nut,,,
,,,,,
CTA107,1,Piston Assembly, $63.35 ,,
CT72,1,Cable,,,
CT107,1,Piston Body,,,
CT109,1,¼ -20 Hex Nut (Castle Nut),,,
CT110,1,Piston Cup Relief Washer,,,
CT111,1,Piston Cup,,,
CT112,1,Slotted Bolt,,,
FA286,2,¼” x ½” Flat Washer,,,
FA291,1,¼ - 20 Hex Nut,,,
,,,,,
CTR-1,1,Taper Repair Kit, $25.74 ,,
CT42A,2,Diamond Blade,,,
CT54,1,Return Spring,,,
CT63,2,Needle,,,
CT72,1,Cable,,,
CT81,1,Clutch Return Spring,,,
,,,,,
CTR-2,1,Taper Head Repair Kit, $51.46 ,,
CT2,2,Insert Bushings,,,
CT4,1,Wafer Bushing,,,
CT5,1,Wafer Bushing,,,
CT15,1,Ratchet Rod,,,
CT16,1,Brake Dog,,,
CT67,2,Ratchet Gear,,,
CT76,2,Nylatron Washer,,,
,,,,,
CTR-42A,1,Taper Blades Kit, $9.41 ,,
CT42A,5,Diamond Blade,,,
,,,,,
CTR-63,1,Taper Needles Kit, $6.32 ,,
CT63,5,Needle,,,
,,,,,
CTR-72,1,Taper Cables Kit, $22.58 ,,
CT72,3,Cable,,,
,,,,,
,,"PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE ",,,
,,,,,
CPTA87-CL,1,Cam Lock Predator Taper Cap, $181.69 ,,
CT6R,2,Removable Cap Sideplate Screw,,,
CT34-CL,2,Cam Lock Cap Side Block,,,
CT87-CL,1,Cam Lock Taper Cap,,,
CT87A,1,Bracket Base,,,
CT87-CS,1,Taper Cap Cork Seal,,,
CT88,1,Clutch Release Rod,,,
CT89,1,Release Rod Sleeve,,,
CT90,2,Rod Sleeve Housing,,,
CT91,1,Release Clip Bushing,,,
CT92,1,Release Clip,,,
CT92A,1,Toe Kicker Cable Retainer Clip,,,
CTA99-CL,1,Removable Cover Plate PinCam Lock Cap Release Pin Assembly (includes CT99-CS & CT100-CS),,,
FA207,1,4-40 Nyloc Nut,,,
FA215,4,4-40 x 5/16” Binder Slot,,,
FA228,2,#6 Flat Washer,,,
FA233,3,6-32 Nyloc Nut,,,
FA238,2,6-32 x 3/16” Fillister Slot,,,
FA244,1,6-32 x ½” Pan Slot,,,
FA277,1,#6 Belleville Washer,,,
,,If converting non quick release taper also comes with:,,,
FA235,2,6-32 x 1/8 Set Screw,,,
AH19,1,1/16 Allen Key,,,
,,,,,
,,Old Parts,,,
Old Parts may have limited availability,,,,,
CT1,1,Taper Head, $150.62 ,,
CT15A,1,Old Style Ratchet Rod, $5.65 ,,
,,(not used with new Adjustable Brake),,,
CT34,2,Cover Plate Attachment Block, $5.65 ,,
CT46,1,Old Style Connecting Rod Stop, $4.40 ,,
CT87B,1,Old Style Casting Cover Plate, $47.80 ,,
,,(not sold on new Tapers since Spring 2004),,,
CT87C,1,Old Style Cover Plate Gasket, $3.00 ,,
,, (not sold on new Tapers since Spring 2004),,,
CT106,1,Bearing Shaft, $10.06 ,,
CT113,5,Lock Block, $3.14 ,,
CT116,3,Strap, $18.84 ,,
CT117,3,Base, $7.54 ,,
CT118,1,Retaining Spring Clip, $5.65 ,,
CT121,1,Tape Spool Shaft, $12.55 ,,
CT122,1,Strap, $18.84 ,,
CT123,1,Retaining Spring Shaft, $10.06 ,,
CT124,1,Hand Grip Guard Ring, $18.84 ,,
CT125,8,Rollers, $3.14 ,,
CT125A,8,Bearing, $3.14 ,,
CT126,1,Knurled Hand Grip Body, $62.76 ,,
CT128,1,Shaft Guide Strap, $25.09 ,,
CT129,2,Shaft Guide Roller, $2.81 ,,
CT129A,1,Strap Bracket, $4.40 ,,
CT129B,2,Sleeve, $5.01 ,,
,,,,,
,,Old Assembly and Maintenance Kits,,,
CTA87-O,1,Cover Plate Assembly (no quick releasee) Kit, $181.69 ,,
CT87,1,Old Style Taper Cap,,,
CT87A,1,Bracket Brace,,,
CT88,1,Clutch Release Rod,,,
CT89,1,Release Rod Sleeve,,,
CT90,2,Rod Sleeve Housing,,,
CT91,1,Release Clip Bushing,,,
CT92,1,Release Clip,,,
CT92A,1,Toe Kicker Cable Retainer Clip,,,
FA213,2,"4-40 x 1/4"" Binder Slot",,,
