SKU,MPN,Images,match_type,wt_sku,wt_title
CEXT2,CEXT2,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16764/18003/ica1-2_back_500x500__30817.1630433635.jpg,name,COLM-ICA2-1,Columbia Inside 90 Corner Applicator 2 Wheels
HFFB17,HFFB17,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17271/24474/col-hfbb4-10_01__41887.1555359320.jpg,name,COLM-HFFB4-10,Columbia Hinged 10 in. Flat Box Door (COLM-HFFB4-10)
HFFB1A,HFFB1A,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17271/24474/col-hfbb4-10_01__41887.1555359320.jpg,name,COLM-HFFB4-10,Columbia Hinged 10 in. Flat Box Door (COLM-HFFB4-10)
HFFB1-10,HFFB1-10,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17271/24474/col-hfbb4-10_01__41887.1555359320.jpg,name,COLM-HFFB4-10,Columbia Hinged 10 in. Flat Box Door (COLM-HFFB4-10)
HFFB4-10,HFFB4-10,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12904/19168/col-ffba-10__37701.1555359138.jpg,colm,COLM-FFBA10,Columbia Flat Box Blade Bar Assembly (COLM-FFBA-10)
HFFB1A-10,HFFB1A-10,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12904/19168/col-ffba-10__37701.1555359138.jpg,colm,COLM-FFBA10,Columbia Flat Box Blade Bar Assembly (COLM-FFBA-10)
FA327,FA327,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/14900/16926/COL-FA213_01_1__22620.1555359221.jpg,name,COLM-FA213,Columbia 4-40 x 1/4&quot; Binder Slot (Pan Head Screw) (COLM-FA213)
FA348,FA348,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16846/21595/COL-FA286_01__37362.1555359302.jpg,name,COLM-FA286,Columbia  x  in. Flat Washer (COLM-FA286)
FA362,FA362,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16373/20087/COL-FA295_01__49377.1555359282.jpg,name,COLM-FA295,Columbia -20 x  in. Flat Head Socket Screw (COLM-FA295)
FA363,FA363,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16373/20087/COL-FA295_01__49377.1555359282.jpg,name,COLM-FA295,Columbia -20 x  in. Flat Head Socket Screw (COLM-FA295)
FA364,FA364,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17051/18648/COL-FA305_01_1__68436.1555359310.jpg,name,COLM-FA305,Columbia 5/16-18 x 3/4 Hex Bolt (COLM-FA305)
