Brand,WC_Category,Current_SKU,Current_Name,Current_Price,Proposed_Parent_SKU,Proposed_Parent_Name,Attribute_Name,Attribute_Value,From_Price,Action,Notes
Columbia Taping Tools,Repair Kits & Parts,501C55,"Columbia 5.5"" Flat Box Blade Kit - 3 Blades, 2 Sets of Skid Covers (501C55)",,501CGROUP,"Columbia Flat Box Blade Kit - 3 Blades, 2 Sets Of Skid Covers",Width,"5.5""",,SKIP (bundle/kit – keep simple),Multi-item bundle; keep as separate simple products
Columbia Taping Tools,Repair Kits & Parts,501C8,"Columbia 8"" Flat Box Blade Kit - 3 Blades, 2 Sets of Skid Covers (501C8)",,501CGROUP,"Columbia Flat Box Blade Kit - 3 Blades, 2 Sets Of Skid Covers",Width,"8""",,SKIP (bundle/kit – keep simple),Multi-item bundle; keep as separate simple products
Columbia Taping Tools,Repair Kits & Parts,5BBH,"Columbia 60"" 180-Grip Bent Flat Box Handle (5BBH)",243.34,5BBHGROUP,Columbia 180-Grip Bent Flat Box Handle,Length,"60""",$243.34,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,6BBH,"Columbia 72"" 180-Grip Bent Flat Box Handle (6BBH)",254.15,5BBHGROUP,Columbia 180-Grip Bent Flat Box Handle,Length,"72""",$243.34,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CFB47,"Columbia 7"" Pressure Door (CFB47)",,CFBGROUP,Columbia Pressure Door,Size,"7""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CFB48,"Columbia 8"" Pressure Door (CFB48)",,CFBGROUP,Columbia Pressure Door,Size,"8""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,7CFB,"Columbia 7"" ThrottleBox Angle Box (7CFB)",313.64,7CFBGROUP,Columbia Throttlebox Angle Box,Size,"7""",$313.64,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,8CFB,"Columbia 8"" ThrottleBox Angle Box (8CFB)",324.45,7CFBGROUP,Columbia Throttlebox Angle Box,Size,"8""",$313.64,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CTTCT87CS,Columbia Cover Plate Cork Seal (CTTCT87CS),7.08,CTTCT87CSGROUP,Columbia Cover Plate Cork Seal,Size,,$7.08,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CT-87CS,Columbia Cover Plate Cork Seal (CT-87CS),,CTTCT87CSGROUP,Columbia Cover Plate Cork Seal,Size,,$7.08,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFBB-14-1,"Columbia Flat Box Door Gasket 10"" Fat Boy-New Style (HFBB-14-1)",,HFBB-14-GROUP,Columbia Flat Box Door Gasket Fat Boy-New Style,Size,"10""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFFB14-8,"Columbia Flat Box Door Gasket 8"" Fat Boy-New Style (HFFB14-8)",,HFBB-14-GROUP,Columbia Flat Box Door Gasket Fat Boy-New Style,Size,"8""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CT87A,Columbia Taper Bracket Base (CT87A),,CT87AGROUP,Columbia Taper Bracket Base,Size,,,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,050036,Columbia Taper Bracket Base (050036),,CT87AGROUP,Columbia Taper Bracket Base,Size,,,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CT-122A,Columbia Taper Strap (CT-122A),,CT-122AGROUP,Columbia Taper Strap,Size,,,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,CT-116A,Columbia Taper Strap (CT-116A),,CT-122AGROUP,Columbia Taper Strap,Size,,,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFFB5-10,"Columbia Flat Box Axle 10"" (HFFB5-10)",,HFFB5-GROUP,Columbia Flat Box Axle,Size,"10""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFFB5-12,"Columbia Flat Box Axle 12"" (HFFB5-12)",,HFFB5-GROUP,Columbia Flat Box Axle,Size,"12""",,MERGE → variable product,
